StudentID,Age,Gender,MathScore,ScienceScore,EnglishScore,Attendance,Grade,TotalScore,Percentage
1,23,Male,53.0,63.0,93.0,85.6891227427663,B,209.0,69.67
2,20,Female,65.0,36.0,67.0,94.98337226460865,D,168.0,56.0
3,21,Female,67.0,97.0,79.0,81.20507720909188,A,243.0,81.0
4,23,Male,54.0,87.0,59.0,76.99303185564183,B,200.0,66.67
5,19,Female,47.0,64.0,80.0,71.93723376941695,A,191.0,63.67
6,20,Male,95.0,65.0,92.0,78.87431354530628,F,252.0,84.0
7,21,Female,83.0,50.0,81.0,67.7681225909198,A,214.0,71.33
8,21,Female,64.0,65.0,67.0,69.5741055100751,B,196.0,65.33
9,23,Female,90.0,39.0,59.0,76.5928739844087,D,188.0,62.67
10,18,Male,70.0,53.0,80.0,53.330955619540845,F,203.0,67.67
11,20,Male,62.0,93.0,34.0,61.451269546239814,B,189.0,63.0
12,23,Male,97.0,78.0,58.0,77.14246553067045,F,233.0,77.67
13,19,Male,62.0,65.0,33.0,71.57640715682213,C,160.0,53.33
14,19,Male,43.0,53.0,39.0,76.99303185564183,A,135.0,45.0
15,24,Male,50.0,52.0,85.0,86.52745684046508,C,187.0,62.33
16,21,Male,77.0,64.0,46.0,84.68588037016693,B,187.0,62.33
17,20,Female,49.0,66.0,46.0,58.33653799966916,D,161.0,53.67
18,24,Male,37.0,41.0,63.0,93.93145576867191,F,141.0,47.0
19,24,Female,36.0,84.0,63.0,74.77118132019828,A,183.0,61.0
20,19,Male,96.0,42.0,35.0,87.07304555695228,F,173.0,57.67
21,22,Male,64.0,52.0,82.0,78.65754246286943,B,198.0,66.0
22,21,Male,62.0,59.0,63.0,99.88463079619217,F,184.0,61.33
23,18,Female,77.0,64.0,72.0,87.62015600194113,A,213.0,71.0
24,24,Female,64.0,91.0,63.0,85.34902306217296,B,218.0,72.67
25,20,Female,51.0,42.0,84.0,88.92859695253756,F,177.0,59.0
26,22,Female,59.0,88.0,45.0,57.15639927742348,D,192.0,64.0
27,22,Male,67.0,48.0,37.0,60.22722965847316,B,152.0,50.67
28,18,Female,80.0,78.0,33.0,76.99303185564183,B,191.0,63.67
29,24,Male,83.0,41.0,33.0,74.69907435654314,D,157.0,52.33
30,20,Male,37.0,90.0,85.0,87.73176459300583,C,212.0,70.67
31,21,Female,56.0,48.0,54.0,55.14580153720725,A,158.0,52.67
32,17,Female,56.0,38.0,96.0,76.82406757422973,C,190.0,63.33
33,20,Female,50.0,57.0,96.0,68.94107827784579,A,203.0,67.67
34,18,Female,59.0,81.0,56.0,72.85001096408392,D,196.0,65.33
35,22,Female,57.0,45.0,61.0,80.19789360362563,C,163.0,54.33
36,21,Female,93.0,98.0,79.0,75.11441737312651,B,270.0,90.0
37,20,Female,98.0,41.0,90.0,76.99303185564183,F,229.0,76.33
38,17,Female,90.0,54.0,80.0,74.3178740997804,F,224.0,74.67
39,17,Male,77.0,64.0,48.0,70.44775885427467,C,189.0,63.0
40,19,Female,48.0,64.0,63.0,88.59409902991226,C,175.0,58.33
41,19,Female,33.0,52.0,34.0,50.61015361590223,D,119.0,39.67
42,23,Male,64.0,45.0,71.0,79.92213506026135,A,180.0,60.0
43,18,Female,93.0,86.0,90.0,76.99303185564183,C,269.0,89.67
44,24,Male,64.0,68.0,51.0,85.80895373664761,C,183.0,61.0
45,20,Male,46.0,82.0,50.0,79.95146823886633,B,178.0,59.33
46,20,Female,73.0,71.0,99.0,91.33994139045392,F,243.0,81.0
47,24,Male,59.0,87.0,30.0,97.95373972820138,A,176.0,58.67
48,23,Male,75.0,68.0,34.0,67.12621285892718,B,177.0,59.0
49,22,Male,35.0,43.0,41.0,61.36754915149935,D,119.0,39.67
